Excel Row,Artwork ID,Title,Category,Price INR,Materials,Dimensions,Existing Intern Notes,Recommended Final Sync Action,Corrected Fields Needed,Proposed Intern Review Notes,Business Owner Input Needed
2,art-1770419263598,Eternal Glow – Mandala of Light and Balance,,4000.00,Wood,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
5,art-1770771760544,Hand-Painted Keychains (set of 5),,450.00,Wood,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
6,art-1770771970545,Mango-Shaped storage box,,450.00,Wood,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
8,art-1770777152872,Sacred Geometry in Clay & Mirror,,8000.00,Wood,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
10,art-1770778384172,Butterfly Set (3 pieces),,1500.00,Wood,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
11,art-1770778509370,Coaster Set (4 pieces),,800.00,Wood,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
13,art-1770779054676,Floral Rectangular Wooden Storage Box,,1500.00,Wood,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
14,art-1770779208267,Rectangular Wooden box,,700.00,Wood,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
15,art-1770933508740,Canvas Bag - Birds,,2000.00,Canvas Cloth,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
16,art-1771030266195,Hand-Painted Floral Saree,,20000.00,Georgette,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
