Priority,Artwork ID,Artwork Title,Gap Category,Gap Description,Recommended Action,Blocks Phase 1 Sync,Owner/Decision Needed,Source/Notes
P1,art-1770778509370,Coaster Set (4 pieces),Embedded Pricing in Description,"Description contains inline pricing text: ""Set of 4 - Rs 750 / Set of 6 - Rs 1000"". Prices may conflict with artwork_sizes table values.",Remove pricing text from description. Verify correct INR prices are in artwork_sizes rows. Update description to be price-free.,No,Business owner to confirm correct prices and approve description edit.,INV-03-06 live API review
P1,art-1770419460850,Mandala in Blue and Peach,Embedded Pricing in Description,"Description contains inline pricing text: ""18"" - Rs 6200 / 24"" Rs 8000 / 36"" Rs 16000"". Larger size variants not in size rows.","Remove pricing text from description. Add proper artwork_sizes rows for 18"", 24"", 36"" variants with correct INR prices. Recalculate USD via backend.",No,Business owner to confirm size prices and approve description edit.,INV-03-06 live API review
P1,(project-level),(all artworks),Unconfirmed Pricing Assumption — FX Rate,FX rate 92.40 used in INV-03-03 recalculation has not been confirmed as current. Live rate may differ.,Business owner to confirm: continue using 92.40 or update to current live INR/USD rate before any size USD recalculation commit.,No,Business owner,INV-03-04 Assumptions Report
P1,(project-level),(all artworks),Unconfirmed Pricing Assumption — Invoice/Purchase Costs,Invoice or purchase-price support for 9 UPDATE rows was not found in workbook data.,Business owner to provide or confirm purchase cost basis for artwork pricing validation.,No,Business owner,INV-03-04 Assumptions Report
P1,(project-level),(all artworks),Unconfirmed Pricing Assumption — Customs Cost,No confirmed customs cost assumption found in workbook or backend.,Business owner to define customs cost assumption before automated pricing workflows are built.,No,Business owner,INV-03-04 Assumptions Report
P1,(project-level),(all artworks),Unconfirmed Pricing Assumption — Shipping Cost,No confirmed shipping cost assumption found in workbook or backend.,Business owner to define shipping cost assumption before automated pricing workflows are built.,No,Business owner,INV-03-04 Assumptions Report
P1,(project-level),(all artworks),Unconfirmed Pricing Assumption — Overhead Cost,No confirmed overhead cost assumption found in workbook or backend.,Business owner to define overhead cost assumption before automated pricing workflows are built.,No,Business owner,INV-03-04 Assumptions Report
P1,(project-level),(all artworks),Unconfirmed Pricing Assumption — Margin Floor,No minimum acceptable margin floor has been defined for automated pricing.,Business owner to define minimum acceptable margin floor before any pricing commit workflow is approved.,No,Business owner,INV-03-04 Assumptions Report
P2,art-1771102688340,Small decorative Rounds (set of 5),Short Description,Description is only 19 characters: ""Small accent pieces"". Inadequate for customer-facing display.,Business owner to write or approve a fuller description for this artwork.,No,Business owner,INV-03-06 live API review
P2,art-1772899719136,Lippan Art Small decorative Squares (set of 5),Short Description,Description is only 42 characters: ""Decorative squares and round in a set of 5"". Inadequate for customer-facing display.,Business owner to write or approve a fuller description for this artwork.,No,Business owner,INV-03-06 live API review
P2,art-1771102578812,Decorative Wall Panel,Short Description,Description is only 51 characters: ""Beautiful arrangement with clay, colors and mirrors"". Two artworks share near-identical stub descriptions.,Business owner to write or approve a fuller description that distinguishes this artwork from art-1771102482592.,No,Business owner,INV-03-06 live API review
P2,art-1770933508740,Canvas Bag - Birds,Short Description,Description is only 51 characters: ""Beautiful, colorful birds sitting on a tree branch."". Insufficient for product listing.,Business owner to write or approve a fuller description for this artwork.,No,Business owner,INV-03-06 live API review
P2,art-1771102482592,Decorative Wall Panel,Short Description,Description is only 47 characters: ""Beautiful piece decorated with clay and mirrors"". Near-identical to art-1771102578812 stub.,Business owner to write or approve a fuller description that distinguishes this artwork from art-1771102578812.,No,Business owner,INV-03-06 live API review
P2,art-1771101978525,Hand painted Tussar Saree,Short Description,Description is only 60 characters: ""Beautiful hand painted saree with Ornamental design all over"". Thin for a textile product.,Business owner to write or approve a fuller description.,No,Business owner,INV-03-06 live API review
P2,art-1771454920479,Canvas Bag - Flowers,Short Description,Description is only 63 characters: ""Beautiful flowers with a butterflies showcased on a canvas bag."". Grammar error present (""a butterflies"").,Business owner to write or approve a fuller corrected description.,No,Business owner,INV-03-06 live API review
P2,art-1771102194181,Dot Mandala Coaster Set – Variety Pack (4 pieces),Short Description,Description is only 67 characters. Generic single-sentence description.,Business owner to write or approve a fuller description after title is updated by Phase 1.,No,Business owner,INV-03-06 live API review
P2,art-1771101978525,Hand painted Tussar Saree,Title Casing,"Title has lowercase ""p"" in ""painted"": should be ""Hand-Painted Tussar Saree"" for consistency with other hand-painted items.",Fix title casing in next UPDATE batch or via admin edit after business-owner confirmation.,No,Business owner to confirm,INV-03-06 live API review
P2,art-1770779208267,Rectangular Wooden box,Title Casing,"Title ends in lowercase ""box"": should be ""Rectangular Wooden Box"".",Fix title casing in next UPDATE batch or via admin edit.,No,Business owner to confirm,INV-03-06 live API review
P2,art-1770771970545,Mango-Shaped storage box,Title Casing,"Title has lowercase ""storage box"": should be ""Mango-Shaped Storage Box"".",Fix title casing in next UPDATE batch or via admin edit.,No,Business owner to confirm,INV-03-06 live API review
P2,art-1772899719136,Lippan Art Small decorative Squares (set of 5),Title Casing,"Title has lowercase ""decorative"": should be ""Lippan Art Small Decorative Squares (Set of 5)"".",Fix title casing in next UPDATE batch or via admin edit.,No,Business owner to confirm,INV-03-06 live API review
P2,art-1771102688340,Small decorative Rounds (set of 5),Title Casing,"Title has lowercase ""decorative"": should be ""Small Decorative Rounds (Set of 5)"".",Fix title casing in next UPDATE batch or via admin edit.,No,Business owner to confirm,INV-03-06 live API review
P2,art-1771102482592,Lippan Decorative Wall Panel – Style A,Ambiguous Size Label,"""8"" (round) or 8"" (square)"" and ""10"" (round) or 10"" (square"")"" — shape choice embedded in a single size label. Also has a stray quote in the label.",Split each into two separate size rows (round and square) if pricing differs. Standardize label format.,No,Business owner to confirm if round vs square pricing differs,INV-03-06 live API review
P2,art-1771102578812,Decorative Wall Panel,Ambiguous Size Label,"""8""(round) or 8"" (square)"" and ""10""(round) or 10"" (square)"" — shape choice embedded in size label. Inconsistent spacing vs art-1771102482592.",Split into two rows per size or standardize format consistently across all three wall panel artworks.,No,Business owner to confirm if round vs square pricing differs,INV-03-06 live API review
